,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,ESTADO DE MÉXICO,MICHOACÁN,MORELOS,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERÉTARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS,NACIONAL
277,3.1,35.3,0.0,66.3,0.1,0.0,50.6,1.4,2.9,1.2,2.5,0.0,5.5,0.8,1.1,0.8,0.4,0.0,5.2,5.1,17.9,6.3,28.0,10.8,1.0,3.5,115.8,22.9,4.7,31.6,87.1,4.0,13.2
278,0.0,0.8,0.8,28.7,6.5,0.0,33.3,2.6,3.1,0.1,0.2,0.1,15.9,0.1,1.9,0.0,0.0,0.4,7.5,8.0,12.7,1.4,46.1,5.7,1.6,0.4,63.9,3.3,3.2,17.9,45.9,0.7,7.9
279,13.2,0.0,0.0,54.8,15.5,0.0,90.8,0.3,39.4,2.1,3.8,11.2,41.6,5.0,32.1,11.2,13.9,0.0,30.9,23.2,82.0,3.4,17.4,32.2,0.0,0.0,146.3,50.6,30.6,48.2,24.0,7.1,19.7
280,19.6,0.7,0.0,126.5,70.8,1.4,203.2,11.5,42.6,9.0,19.7,15.4,52.6,7.3,25.9,11.7,40.7,0.1,53.6,70.3,63.6,23.3,91.9,55.0,0.1,0.8,150.2,50.2,54.0,72.8,44.3,10.6,39.5
281,72.2,0.0,0.0,279.2,20.3,88.4,431.3,30.7,152.8,35.3,140.3,208.2,120.5,186.6,154.1,150.7,259.7,151.0,15.9,415.8,312.8,96.3,193.7,197.0,16.4,21.3,308.4,96.4,168.2,308.2,208.1,66.9,125.4
282,201.0,1.9,5.1,104.0,74.7,342.5,390.0,179.6,164.0,166.0,247.1,296.5,168.4,244.5,158.7,242.9,251.5,486.4,147.3,393.2,266.2,187.3,123.1,380.2,236.2,123.5,204.2,347.0,177.9,249.7,110.5,162.4,197.8
283,262.7,12.6,8.8,194.3,208.3,164.5,315.8,163.4,184.7,232.2,208.4,295.7,112.7,212.1,171.9,211.6,221.1,479.4,177.5,243.6,163.3,213.8,44.9,226.7,258.5,161.0,221.7,184.1,116.7,125.0,67.4,199.9,188.4
284,78.5,0.1,98.9,426.7,45.3,255.0,486.0,103.9,113.6,161.8,101.1,251.3,169.2,168.5,99.4,152.3,201.4,326.2,281.1,353.2,264.6,106.5,128.4,307.7,190.3,107.3,649.4,199.6,110.4,387.1,199.1,117.3,188.2
285,6.4,0.2,4.9,234.0,8.9,81.1,224.2,33.9,37.7,34.2,8.6,190.2,88.8,43.4,34.3,43.1,34.0,105.2,66.5,132.4,138.4,3.4,431.4,133.9,33.3,14.2,317.5,47.7,12.7,203.8,67.6,11.1,78.2
286,0.0,33.6,23.6,4.9,0.4,0.2,25.8,1.9,0.0,0.1,0.0,3.8,11.9,0.5,0.0,0.0,0.0,1.8,6.2,20.4,24.9,0.0,10.2,12.8,0.2,12.7,54.3,20.8,0.0,53.8,2.9,0.3,10.1
287,0.2,111.9,12.0,15.4,2.6,0.0,34.0,0.7,0.0,0.3,0.5,0.0,3.1,0.0,0.0,0.2,0.0,0.1,3.0,16.9,13.7,0.0,32.3,2.6,0.0,2.1,125.9,2.4,1.0,25.6,12.5,0.1,11.1
288,0.8,3.0,0.6,31.9,1.7,2.0,47.0,8.2,13.2,2.3,2.6,0.6,21.0,4.2,10.0,6.6,2.8,0.0,13.5,19.0,23.5,10.7,66.4,12.3,2.5,7.8,152.2,6.6,5.7,38.5,21.9,1.7,13.5
289,0.0,56.1,0.7,14.6,1.5,0.0,18.5,0.7,6.8,0.3,0.1,3.3,19.7,0.0,5.2,1.1,4.2,0.0,12.3,29.3,58.8,0.8,26.6,16.3,0.0,6.1,48.3,15.2,0.6,49.0,7.7,0.2,11.5
290,0.8,0.4,0.0,13.5,17.7,0.0,29.0,9.9,8.6,2.4,3.8,0.1,8.6,1.0,9.8,2.6,2.4,0.0,7.9,2.9,12.8,4.2,22.3,16.4,1.0,4.8,44.0,6.6,12.9,9.3,13.3,1.3,8.3
291,1.1,6.0,0.0,16.9,18.6,0.0,27.0,0.1,5.9,1.8,4.3,2.1,5.3,1.3,3.6,1.9,4.1,0.0,16.5,15.7,29.8,1.2,12.0,4.7,0.0,0.2,72.8,5.1,1.4,28.9,6.3,2.7,8.3
292,13.9,0.7,0.1,28.2,55.3,8.2,168.1,33.1,41.7,31.3,42.2,60.1,74.6,40.0,57.3,56.6,87.8,15.5,43.9,72.2,91.7,40.7,86.5,65.9,11.6,11.1,97.0,92.9,72.2,63.3,32.8,27.2,46.7
293,86.0,1.1,0.9,173.1,34.9,125.6,369.0,69.6,86.3,76.5,137.3,240.9,79.7,129.4,108.6,134.3,190.0,249.7,21.5,241.8,168.8,88.3,172.2,90.4,72.3,40.8,176.8,54.5,124.9,160.2,111.1,86.9,105.7
294,47.8,0.0,4.1,163.6,20.8,154.8,214.5,106.1,103.6,88.7,90.1,158.1,46.8,147.4,98.6,153.2,105.9,251.1,32.2,201.8,153.0,59.4,65.3,55.8,153.1,108.0,114.5,22.4,68.5,165.5,84.6,71.4,101.3
295,95.5,1.0,36.8,252.5,22.6,182.9,333.7,95.0,143.0,121.4,78.9,166.7,97.3,142.8,123.0,133.6,202.6,296.0,37.5,210.2,164.3,77.4,81.2,132.9,165.5,95.7,248.2,54.2,88.6,217.0,124.6,101.7,121.4
296,98.1,0.4,100.0,190.6,91.3,159.6,300.0,57.2,227.8,123.9,197.3,214.3,247.3,155.2,216.1,207.3,323.8,215.3,167.1,264.6,349.9,125.8,117.8,305.7,84.5,70.8,251.0,211.9,214.0,358.2,115.4,112.6,153.4
297,51.1,0.7,71.1,64.6,26.5,213.4,245.9,66.5,72.1,54.6,53.5,137.8,145.3,66.3,87.7,61.7,102.1,131.6,61.9,160.4,132.6,63.0,152.4,152.2,148.2,85.8,158.7,44.9,66.8,193.1,39.9,38.2,89.2
298,13.5,12.4,0.3,137.3,21.2,0.0,142.0,12.1,0.7,4.6,0.4,6.3,18.4,6.9,1.7,0.3,2.6,47.2,48.1,16.4,30.8,2.0,243.3,30.9,9.4,5.9,255.5,45.6,4.9,107.2,132.3,25.6,37.2
299,6.3,33.6,11.0,46.7,18.7,13.9,58.4,10.4,3.4,11.6,12.7,0.8,26.4,9.2,4.1,6.4,3.3,74.8,20.7,33.4,20.3,16.5,54.8,67.5,14.5,7.9,111.5,67.7,6.9,80.1,46.4,18.1,26.9
300,32.7,79.6,6.4,51.3,37.6,26.7,45.1,32.8,25.8,10.5,53.1,36.4,61.7,29.0,35.1,43.1,27.0,19.6,29.1,19.4,59.8,39.5,76.8,52.5,15.9,59.8,163.6,23.9,43.8,80.4,26.4,24.1,40.1
301,109.0,57.0,17.2,10.3,31.4,191.7,17.8,21.1,57.3,38.7,151.6,113.9,85.1,122.3,124.3,179.1,100.9,124.2,36.5,28.4,61.1,139.9,35.5,90.7,47.0,31.3,52.6,71.9,67.7,59.5,14.3,87.4,54.7
302,0.0,23.0,1.9,3.6,6.8,0.0,14.8,1.4,1.6,7.4,0.6,0.0,5.3,0.0,0.4,0.2,0.4,0.3,14.3,17.7,15.4,0.9,10.9,4.4,1.9,6.4,35.2,6.0,3.2,19.7,11.4,0.4,7.1
303,0.6,30.3,0.0,29.1,80.2,0.0,70.4,13.0,14.9,3.8,5.5,0.0,59.0,0.8,12.3,1.7,9.6,0.1,162.4,45.7,55.1,22.1,221.9,94.6,1.1,6.2,37.2,111.9,58.5,89.0,53.8,1.6,40.2
304,5.3,0.0,0.0,107.4,83.0,0.1,186.4,4.1,27.3,7.8,6.5,7.4,32.7,5.0,22.8,10.3,7.1,0.2,49.9,25.0,37.2,11.0,187.9,49.3,0.6,0.0,73.0,76.3,35.6,23.7,96.6,2.7,35.3
305,56.4,0.0,0.0,327.7,74.1,83.2,507.5,36.9,94.3,59.4,79.5,201.7,48.8,125.4,89.7,131.4,182.8,54.0,209.6,241.1,117.1,86.2,120.9,85.4,3.1,5.1,319.8,131.6,80.3,131.9,180.0,36.6,109.2
306,138.7,0.4,0.8,266.0,177.8,238.7,395.1,180.1,203.3,199.0,243.0,318.4,337.9,282.8,243.7,330.1,304.7,471.2,352.7,371.3,354.4,204.4,292.1,563.6,154.0,130.7,310.1,327.7,237.3,432.2,228.7,160.0,244.2
307,70.6,2.9,6.7,279.2,16.3,356.2,756.7,76.3,174.5,75.6,125.8,518.2,100.9,216.9,161.5,232.7,316.0,507.4,45.5,679.3,279.2,79.4,130.2,107.1,191.7,117.9,664.8,44.5,164.6,395.6,219.0,79.6,194.6
308,77.6,3.9,73.7,237.5,81.9,301.1,559.5,100.2,93.7,154.0,131.3,310.0,174.2,156.9,114.3,152.7,249.3,462.5,322.2,460.5,273.6,130.7,217.9,284.9,175.5,80.0,551.7,207.3,125.3,397.2,182.5,115.5,197.0
309,2.2,29.7,2.1,56.0,2.0,3.1,58.4,3.7,3.7,2.9,0.7,9.0,20.4,1.2,3.8,2.9,1.8,10.3,8.4,18.3,62.5,2.9,63.8,22.6,5.5,10.7,91.6,9.9,7.8,87.0,39.8,1.1,17.8
310,0.0,8.9,0.0,48.0,0.9,0.0,89.9,0.2,1.4,0.0,0.0,6.0,9.2,0.0,1.8,2.1,7.3,0.0,0.0,26.9,43.0,0.0,130.7,2.4,0.0,0.0,207.6,0.1,5.0,47.5,16.8,0.0,15.2
311,0.0,61.7,0.5,9.1,0.0,0.0,28.7,0.2,0.1,0.2,0.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.6,6.5,6.7,0.1,15.2,2.5,0.1,4.9,54.7,0.1,0.0,27.4,2.3,0.0,6.7
312,0.5,5.0,0.1,65.8,7.6,0.0,46.0,2.9,0.1,0.9,1.9,0.0,13.5,0.6,0.7,0.6,0.0,0.7,23.8,35.6,15.8,0.1,40.1,16.0,0.1,0.7,159.1,33.7,0.0,76.4,48.0,0.1,16.5
313,0.0,75.2,0.4,10.0,0.5,0.0,37.1,0.3,0.7,0.0,0.0,0.0,4.5,0.0,0.3,0.0,0.0,0.0,0.0,6.3,7.4,0.1,91.2,2.8,0.0,1.7,120.9,0.3,0.0,18.5,34.4,0.4,10.1
314,0.0,29.9,0.6,16.4,2.5,0.0,84.3,0.0,8.1,0.0,0.1,0.7,6.4,0.2,2.2,1.1,1.8,0.0,12.1,3.8,26.6,8.4,100.9,14.3,0.0,0.1,106.9,7.7,7.0,21.8,24.6,0.1,11.8
315,0.4,10.5,0.4,17.1,4.7,0.1,74.2,0.0,39.8,0.2,7.4,9.6,36.6,2.7,20.8,5.9,8.1,0.0,4.3,16.6,39.1,3.7,3.2,5.0,0.1,1.6,25.9,0.3,32.0,14.6,4.8,0.1,8.5
316,0.5,7.1,0.5,35.1,9.3,3.7,149.5,1.1,28.0,0.7,4.6,33.9,11.1,5.0,24.7,13.6,50.0,0.0,13.2,30.9,71.3,7.5,14.9,34.6,0.0,0.1,93.9,20.1,61.2,35.0,10.1,10.8,18.8
317,48.1,0.0,0.0,201.9,19.0,174.8,300.6,11.6,129.8,3.1,72.0,278.7,245.7,97.8,131.9,125.4,190.2,91.2,85.1,248.3,225.8,131.8,277.4,276.7,3.8,7.0,155.0,234.6,134.1,206.7,223.7,28.6,105.1
318,32.4,9.7,6.8,187.9,32.7,392.8,458.5,101.0,230.5,106.8,89.3,312.2,199.8,203.8,221.0,270.6,222.5,390.7,79.1,453.1,290.5,62.3,180.1,372.0,250.9,117.0,478.5,119.2,172.6,374.2,163.8,73.4,180.4
319,58.6,2.7,16.5,194.8,25.2,215.0,433.7,76.4,158.9,66.5,78.9,298.5,58.7,137.4,116.9,145.1,265.2,436.4,29.9,292.5,261.1,74.5,112.9,64.7,222.6,103.6,242.5,49.4,152.0,247.0,119.7,79.4,133.8
320,90.6,3.5,21.2,191.2,19.5,197.7,422.3,23.9,101.9,57.5,87.3,158.0,72.9,76.4,63.5,76.9,136.1,181.3,36.8,186.5,167.9,56.7,125.5,61.7,64.5,38.5,445.5,65.9,86.2,264.4,189.8,95.4,99.7
321,25.6,4.2,1.6,177.2,25.6,382.0,273.7,9.2,62.0,4.9,36.7,100.0,19.6,78.2,59.1,43.9,80.1,28.4,55.9,64.6,85.9,24.4,382.5,39.8,6.8,3.5,401.5,33.1,60.9,149.0,100.7,25.0,65.3
322,1.1,39.2,18.8,56.2,12.7,0.0,58.8,22.0,21.9,4.6,0.3,2.5,32.2,0.2,16.2,6.2,13.1,0.5,6.5,29.8,59.8,2.8,93.8,24.4,40.8,61.7,162.4,17.8,15.0,102.4,36.4,1.0,30.7
323,0.0,19.8,2.5,27.3,16.7,0.0,42.9,12.1,0.9,0.4,0.2,0.3,4.1,0.0,0.3,0.5,0.5,0.0,24.1,20.6,28.8,0.0,53.8,10.3,5.7,24.6,104.4,21.2,2.3,43.5,16.8,0.2,16.5
324,11.1,4.0,0.0,24.0,7.2,0.0,53.3,2.5,6.9,2.4,6.4,2.3,12.1,0.6,3.6,1.9,3.1,0.5,4.9,52.4,44.7,6.7,54.8,20.1,0.6,2.9,215.9,22.9,4.2,87.4,65.8,6.2,18.6
325,51.9,27.5,9.4,22.7,19.3,76.1,38.6,7.4,28.2,9.6,59.5,6.1,49.6,63.7,33.6,59.5,20.1,30.3,71.0,21.8,57.5,53.8,58.1,48.3,5.7,8.5,149.0,79.9,30.5,47.3,15.6,36.2,30.8
326,1.1,37.6,1.4,29.8,24.3,0.0,58.2,3.6,26.5,0.4,7.1,2.5,22.9,1.4,14.4,10.6,3.4,0.0,24.0,22.8,29.3,10.0,25.0,17.3,0.1,2.7,35.2,18.9,27.7,25.9,6.7,1.1,14.0
327,0.0,17.6,0.2,28.2,19.2,0.1,57.8,6.5,15.1,4.3,1.7,4.9,23.2,0.1,9.0,0.9,6.4,0.2,23.4,44.0,42.1,4.9,97.1,63.2,0.2,0.5,52.2,51.4,22.4,59.8,112.4,1.8,22.1
328,5.4,0.0,0.0,106.4,23.8,39.3,181.1,5.4,16.3,7.8,12.4,38.4,28.6,9.2,20.1,20.3,50.6,3.0,48.5,56.7,60.5,20.4,202.6,59.7,0.3,1.2,152.9,46.4,32.5,91.8,71.0,9.1,39.4
329,60.0,0.1,0.0,268.8,13.5,255.2,264.0,12.2,96.0,17.1,85.8,217.1,87.7,123.8,130.1,142.6,159.3,208.1,59.4,349.2,231.1,110.5,215.8,143.1,57.5,20.2,270.0,123.6,202.3,228.0,168.8,38.1,104.3
330,144.5,4.3,2.3,176.2,47.7,118.7,211.8,133.7,160.5,134.5,190.5,150.9,116.3,202.2,180.7,186.0,225.4,253.8,25.2,140.0,273.7,138.0,108.1,157.2,181.4,122.7,171.8,73.1,197.1,205.6,110.7,126.7,129.6
331,89.4,7.8,104.5,199.7,39.1,204.9,418.1,120.7,108.4,97.0,99.7,243.9,195.4,158.7,130.9,192.4,207.5,325.5,83.3,315.4,333.3,113.8,202.8,195.0,239.1,117.9,385.1,86.0,174.6,406.8,122.3,111.2,164.8
332,64.6,11.1,107.5,174.6,82.8,169.3,321.3,104.1,83.4,87.0,86.2,185.4,74.0,69.1,78.2,81.0,128.9,194.0,105.4,219.5,201.7,94.4,105.2,176.5,122.7,72.2,293.2,142.8,111.7,258.1,141.4,79.5,126.1
333,6.4,1.9,65.8,81.0,20.3,66.7,194.4,33.4,14.9,26.0,5.7,98.8,12.8,22.0,14.8,25.4,31.1,37.7,41.6,93.8,63.2,7.0,179.1,37.2,44.4,4.2,203.1,34.0,36.2,164.7,100.6,9.9,52.0
334,4.2,5.6,1.7,4.4,22.9,36.1,29.0,20.6,12.7,9.4,14.9,10.7,26.1,6.1,12.5,28.4,4.4,2.3,73.6,30.3,42.2,27.9,43.9,53.9,5.2,1.7,18.6,45.2,6.6,89.2,17.5,5.4,22.4
335,9.1,32.8,13.1,25.4,3.5,24.2,57.7,21.4,0.0,10.7,3.4,0.5,3.7,12.2,0.6,5.8,0.2,4.7,2.1,14.1,11.2,2.5,45.6,2.9,40.0,27.4,122.8,3.1,3.3,31.3,15.4,5.6,18.2
336,51.6,28.9,8.6,113.7,15.4,98.0,59.0,18.5,2.2,4.6,11.4,7.0,7.7,46.0,4.1,17.7,0.8,18.7,28.0,11.4,8.3,4.9,51.3,22.5,4.0,19.1,185.9,30.9,4.1,28.7,56.7,27.0,26.4
337,0.0,12.2,0.5,15.7,1.8,0.0,16.9,1.9,1.4,0.1,0.2,0.1,8.5,0.1,0.9,0.1,0.3,0.5,2.5,11.9,11.7,3.8,40.7,4.8,0.1,5.1,34.3,3.2,7.5,29.3,12.8,0.4,6.4
338,0.4,6.3,0.8,7.0,1.8,6.6,15.7,1.1,2.3,0.1,2.4,7.5,8.7,2.2,7.7,10.3,8.9,0.5,6.5,12.1,16.3,5.9,39.1,10.0,0.2,2.2,48.7,9.6,8.0,30.8,10.7,0.8,7.1
339,0.2,0.4,0.1,19.5,12.3,0.1,29.6,0.5,15.6,0.3,1.0,7.1,9.8,0.1,11.9,0.9,6.5,1.0,27.2,13.6,20.5,7.4,18.6,2.7,0.2,1.0,37.1,28.2,16.3,19.1,37.0,0.8,9.0
340,18.9,3.4,1.2,119.7,44.1,2.8,214.6,7.6,52.8,4.7,27.0,69.6,53.2,18.4,56.9,24.8,144.5,5.1,76.0,73.9,92.5,41.2,77.9,42.8,1.2,0.9,141.3,55.2,69.1,120.3,72.5,14.2,43.9
341,75.4,3.8,4.1,248.8,52.4,124.2,339.3,52.1,107.1,29.7,94.6,195.7,100.0,114.4,124.2,122.9,262.5,151.4,47.5,187.9,204.5,89.2,254.7,87.5,35.7,9.7,266.1,100.8,117.7,254.6,216.9,54.6,103.2
342,205.7,30.6,18.3,215.1,76.5,239.1,248.4,204.9,113.8,147.4,214.8,154.4,100.5,223.6,161.1,234.6,254.0,216.7,72.1,133.5,203.2,159.3,208.7,102.1,169.4,148.3,230.1,94.4,161.0,158.7,154.7,158.5,152.6
343,80.1,31.6,65.8,259.0,28.0,300.0,309.9,99.1,130.3,89.4,107.1,156.3,116.7,153.9,133.0,160.9,256.3,289.9,51.3,204.2,227.9,116.6,220.7,134.8,197.2,97.3,297.5,132.9,96.2,265.2,205.6,79.6,135.8
344,154.3,33.5,54.1,215.6,121.2,731.1,394.9,103.0,169.7,138.5,185.9,535.5,218.9,304.8,221.9,359.4,393.9,324.2,291.3,409.4,349.1,203.0,377.4,260.9,298.6,81.0,276.3,402.8,202.8,408.6,270.1,144.5,227.3
345,45.3,13.4,56.3,171.5,40.1,124.6,299.5,33.9,64.3,19.3,47.3,103.2,79.4,60.2,71.7,74.1,114.5,32.9,29.7,98.1,125.2,64.3,235.8,61.5,16.1,25.1,378.4,43.2,81.3,225.6,177.1,48.9,77.6
346,35.2,17.4,12.8,189.0,33.1,176.5,193.2,45.9,36.1,59.9,32.5,29.9,66.7,60.0,42.1,37.6,70.4,91.4,50.0,61.8,104.9,55.4,246.0,75.0,91.1,28.6,455.8,88.6,42.4,234.7,135.6,37.6,76.2
347,89.3,12.3,6.3,123.1,17.0,74.1,157.8,49.6,2.5,22.9,37.9,4.4,26.8,79.0,7.6,32.1,2.1,77.3,74.5,19.9,26.0,29.3,127.6,70.9,32.9,28.4,460.5,100.9,17.4,77.0,69.1,64.1,55.1
348,5.8,3.6,2.3,83.3,4.6,3.8,67.3,1.2,0.4,5.3,4.4,1.8,9.6,6.3,3.1,4.5,0.3,9.2,7.0,7.8,11.2,6.2,112.1,17.5,1.4,0.5,177.7,10.8,3.5,33.4,92.3,10.4,16.9
349,0.3,14.3,0.5,27.7,2.3,0.1,19.6,0.6,1.4,0.6,0.3,0.2,4.6,0.0,2.9,0.6,0.1,0.2,8.1,4.3,5.8,1.6,34.9,4.2,0.2,0.7,38.8,10.8,1.2,10.7,31.0,0.4,6.0
350,2.2,9.6,1.8,24.3,7.9,0.2,37.9,11.0,10.9,4.9,4.3,1.0,19.9,1.3,6.1,1.4,2.3,1.1,24.9,10.6,33.7,11.3,41.0,22.6,7.0,10.1,70.5,43.0,19.1,35.5,10.5,4.0,14.3
351,0.4,3.3,0.1,45.4,5.6,0.1,93.6,1.2,21.8,0.3,9.2,6.9,24.0,1.6,17.9,5.0,31.2,1.3,12.2,17.4,35.4,17.2,39.9,16.5,0.2,0.5,133.4,15.6,20.1,25.4,19.0,2.0,13.8
352,56.0,1.8,1.5,165.6,40.4,108.7,262.3,1.8,60.0,7.0,75.8,134.1,77.7,58.9,111.2,94.7,194.5,18.8,71.1,113.7,161.2,71.7,209.9,67.2,2.4,1.0,274.7,101.3,119.8,126.5,175.1,32.9,67.8
353,119.6,0.7,8.4,209.8,58.2,438.7,348.2,41.2,96.4,77.1,158.8,216.5,151.0,226.6,183.5,203.8,451.4,263.9,68.0,258.9,308.0,202.0,97.7,141.9,104.6,8.6,264.6,108.5,211.3,255.7,83.6,105.5,124.2
354,103.7,3.2,64.0,131.1,44.4,242.6,150.0,116.2,99.0,101.2,127.9,104.5,85.2,157.3,142.5,139.7,196.1,170.9,48.2,103.3,147.8,114.5,73.1,138.5,235.1,138.5,178.2,79.9,125.1,155.6,111.3,83.5,111.9
355,92.0,9.4,68.5,206.5,61.0,286.1,225.5,136.4,108.2,111.5,109.1,244.4,70.9,189.2,134.1,159.5,261.2,348.4,55.4,159.9,144.1,96.5,127.2,71.4,241.0,146.4,193.0,56.4,113.9,148.6,177.0,95.5,134.3
356,93.3,2.9,164.5,231.1,99.4,437.6,461.7,132.3,98.3,112.1,106.7,281.4,164.9,183.7,148.2,158.7,407.0,247.0,221.4,255.4,217.5,154.6,234.4,196.6,202.7,139.3,372.0,345.6,138.7,355.5,193.9,108.8,190.9
357,33.5,6.9,17.8,189.2,23.9,154.4,291.5,9.1,92.6,18.7,65.7,191.3,107.9,87.9,104.1,84.7,193.9,138.0,69.3,209.9,171.4,77.2,271.7,81.0,25.8,14.3,411.1,97.4,101.3,270.1,203.6,42.4,91.8
358,22.2,1.4,2.9,49.1,66.1,237.7,80.1,32.5,7.1,55.3,11.9,28.5,19.6,63.2,11.1,27.4,10.5,88.5,59.7,25.0,33.1,10.2,73.9,26.5,54.2,12.4,232.9,43.4,9.8,67.2,36.0,36.4,42.6
359,5.7,27.9,2.4,27.0,10.1,10.4,18.5,6.6,19.6,2.6,4.9,13.4,19.5,5.5,20.0,5.1,29.3,5.8,38.1,19.4,34.3,10.3,42.7,24.4,1.8,8.4,47.6,42.4,21.2,53.2,14.8,12.7,16.3
360,7.1,21.7,26.0,90.1,26.4,1.1,82.5,38.2,0.3,32.2,4.6,0.3,19.4,6.5,1.8,1.5,0.3,42.2,24.9,19.2,30.6,9.0,73.6,23.6,29.5,54.3,294.2,26.8,8.1,79.6,46.9,19.5,37.5
361,32.7,14.6,16.8,32.1,28.7,129.1,31.0,29.5,2.9,37.1,12.1,3.0,15.9,42.2,11.4,17.9,3.0,82.9,33.2,5.2,10.9,14.9,41.0,21.2,33.3,18.5,79.0,19.4,4.3,20.9,43.5,48.0,27.2
362,90.8,37.4,14.8,82.7,71.5,306.1,52.9,54.9,19.5,74.6,126.5,42.1,93.9,140.2,61.5,158.7,63.1,88.3,84.7,30.4,92.8,110.1,43.2,99.6,35.0,40.9,156.3,81.1,63.5,98.8,32.5,79.3,69.6
363,8.4,6.3,8.2,26.0,34.1,0.7,80.6,20.4,8.3,12.8,16.7,2.6,43.6,7.3,15.9,7.5,10.1,2.9,80.9,32.1,45.6,28.3,18.4,37.3,13.1,17.7,86.2,74.5,30.4,50.4,11.1,12.8,27.4
364,31.7,22.1,2.2,71.1,80.1,25.4,126.9,7.2,69.6,8.7,100.4,111.9,67.6,42.7,128.7,75.4,155.6,8.8,126.4,69.5,124.2,94.1,22.0,108.5,4.9,2.8,80.9,151.4,133.8,70.4,31.9,28.8,53.7
365,202.8,17.9,38.8,157.8,74.2,172.6,206.9,83.4,74.1,103.8,143.6,142.0,85.1,183.2,128.1,132.4,262.1,145.1,89.7,173.2,164.6,128.9,270.5,129.5,81.2,75.8,237.0,127.0,141.4,152.0,137.5,167.5,119.2
366,148.0,20.2,51.2,78.7,49.0,207.2,134.7,138.5,94.1,108.3,142.0,147.6,70.3,179.9,141.0,163.9,163.1,202.9,21.5,158.0,132.7,96.9,42.5,73.7,201.3,131.2,92.2,42.6,106.4,148.9,72.6,99.8,110.3
367,93.2,18.6,36.9,203.5,32.6,220.4,196.5,97.2,79.2,72.9,102.2,149.6,67.4,135.6,117.0,118.2,257.9,232.5,42.9,122.5,132.9,85.0,95.9,79.1,255.5,118.7,193.5,76.8,73.5,156.6,158.3,71.0,107.7
368,83.4,41.6,104.6,184.2,36.7,240.9,341.1,74.1,114.3,87.0,112.8,234.2,97.5,160.4,168.2,130.4,295.5,360.2,64.8,176.2,236.0,96.3,171.0,91.7,213.2,116.3,289.3,115.1,171.0,201.3,172.8,89.3,132.7
369,106.6,18.3,39.2,197.6,70.4,601.9,247.1,47.2,20.2,70.0,64.5,127.6,59.7,196.5,57.3,164.6,87.2,176.6,89.4,115.7,113.9,60.5,378.8,88.1,116.1,33.7,361.2,132.9,37.9,259.3,117.1,92.4,110.6
